"","Salary","Age","G","MP","mean_views","PTS","GS","X3P.","X2P.","FT.","PF","STL","BLK","TOV","Play","Season","Pos1"
"1241",24119025,34,79,30.8,882.73698630137,13.6,72,0.363,0.487,0.759,2.7,1.1,1.1,2,0,3,1
"1243",6153846,32,79,23,912.509589041096,10.5,1,0.372,0.468,0.903,1.5,0.4,0.1,0.9,0,3,5
"1245",5375000,29,75,27.9,10.6986301369863,13.9,53,0.375,0.508,0.844,2.4,0.6,0.3,1.2,0,3,2
"1246",11160716,24,80,27.5,1134.32876712329,8.9,60,0.364,0.511,0.806,2.5,1.8,0.4,1.5,0,3,5
"1247",6500000,23,58,20.8,536.964383561644,8.8,24,0.276,0.478,0.763,1.9,1,0.1,1.5,0,3,4
"1248",8339880,20,19,22.5,2537.03835616438,8.2,15,0.286,0.433,0.568,2.7,0.9,0.3,1.3,0,3,5
"1249",9173294,29,58,21.9,751.884931506849,9.4,16,0.335,0.484,0.772,3,0.6,0.4,0.9,0,3,2
"1250",3206160,21,43,11.6,413.150684931507,4.2,2,0.222,0.472,0.711,1.9,0.4,0.3,0.8,0,3,2
"1252",7314960,19,62,25.3,1497.82465753425,14.9,4,0.313,0.534,0.691,1.9,0.5,1,1.6,0,3,2
"1253",14087500,32,75,28.4,272.698630136986,10.1,75,0.366,0.5,0.767,2.1,0.9,0.8,0.6,0,3,2
"1254",12917808,28,82,21.1,411.035616438356,7.8,17,0.2,0.602,0.561,3.1,0.8,0.9,1.5,0,3,1
"1255",9607500,28,48,16.9,737.961643835616,5.9,0,0.338,0.482,0.808,1.6,0.3,0,1.4,0,3,3
"1257",1378242,27,71,21.2,158.616438356164,6.8,18,0.353,0.583,0.784,2,0.5,1.1,0.8,0,3,2
"1258",1050000,22,10,4.4,77.5397260273973,1.5,0,0,0.467,0.25,0.6,0.1,0,0.1,0,3,5
"1259",10595506,26,61,14.4,272.454794520548,5.9,2,0.45,0.626,0.843,1.7,0.2,0.1,0.7,0,3,1
"1260",3500000,30,26,10.7,1473.45628415301,7,2,0.176,0.529,0.718,1.6,0.3,0.4,1,0,3,2
"1261",1468082,27,28,13.3,920.021917808219,4.8,1,0.263,0.424,0.604,1.7,0.7,0.5,0.7,0,3,3
"1262",13000000,25,64,18.4,518.972602739726,6.7,3,0.34,0.498,0.772,2.4,0.5,0.6,0.7,0,3,2
"1263",3557400,22,82,29.5,994.605479452055,8.3,56,0.335,0.548,0.805,2.5,1.6,0.5,0.9,0,3,4
"1264",30521115,31,70,33.5,13.9644808743169,21.1,70,0.364,0.483,0.845,1.8,1.3,0.3,1.9,0,3,3
"1265",5000000,27,64,20.4,353.835616438356,7,10,0.348,0.533,0.824,2,0.3,0.6,0.8,0,3,2
"1266",4320500,30,79,17.7,203.487671232877,5.8,3,0.401,0.399,0.667,2,0.3,0.2,0.6,0,3,2
"1267",3206640,20,80,21.2,714.293150684932,7.5,25,0.325,0.553,0.753,1.4,0.7,0.6,0.6,0,3,4
"1271",1349383,23,82,24,297.271232876712,10.4,6,0.414,0.531,0.802,1.2,0.9,0,0.6,0,3,3
"1272",6000000,25,82,26.3,497.758904109589,16.6,5,0.176,0.623,0.643,3.1,0.9,1.3,1.6,0,3,1
"1273",1764240,21,43,10.4,1692.78630136986,4.8,5,0.286,0.521,0.811,1.3,0.3,0.3,0.9,0,3,1
"1274",3294994,22,74,28.6,409.613698630137,13.3,74,0.388,0.521,0.736,2.6,0.8,2.7,1.4,0,3,1
"1276",6500000,30,77,23.2,431.18904109589,9.6,70,0.401,0.539,0.761,2.6,0.7,0.7,1.1,0,3,2
"1278",24000000,30,75,31.4,286.671232876712,9.3,72,0.389,0.519,0.865,1.9,0.9,0.6,1.6,0,3,4
"1279",2161886,25,68,14.9,549.008196721311,5.9,0,0.372,0.44,0.891,0.7,0.3,0.1,0.8,0,3,5
"1280",25467250,23,80,31.3,1448.11232876712,20.1,80,0.307,0.569,0.821,2.9,1.4,0.7,3.1,1,3,1
"1281",12500000,27,46,27.1,7.34794520547945,15.2,25,0.365,0.545,0.847,2.3,0.7,0.7,1,0,3,2
"1282",12750000,28,80,31.4,421.969863013699,20.8,80,0.364,0.549,0.789,2,1,1.1,2,1,3,1
"1283",1621415,23,68,25.3,404.139726027397,8.4,57,0.336,0.531,0.712,2.6,0.7,0.8,1.3,0,3,2
"1284",9367200,25,60,18.8,176.501369863014,8.6,3,0.4,0.543,0.827,1.6,0.7,0.2,1.1,0,3,5
"1285",1952760,21,67,20.2,817.468493150685,7,6,0.332,0.574,0.581,2.1,0.7,0.3,0.8,0,3,4
"1286",1622520,21,46,17.5,241.671232876712,5.9,11,0.344,0.466,0.711,1.5,0.6,0.5,0.7,0,3,2
"1287",2176260,30,36,14.4,270.122950819672,6.3,0,0.349,0.602,0.672,1,0.6,0.3,0.6,0,3,4
"1288",26011913,25,56,30.1,425.131506849315,13.9,43,0.406,0.504,0.813,1.9,1.5,0.6,1.2,0,3,4
"1290",1544951,24,80,31.9,736.312328767123,16.9,79,0.369,0.602,0.785,3,0.9,0.7,1.9,0,3,2
"1291",1641000,26,61,20.7,373.112328767123,6.9,2,0.33,0.647,0.725,1.3,0.5,0.4,0.5,0,3,5
"1292",5027028,30,78,27.4,485.383561643836,7.6,49,0.397,0.421,0.78,3.4,0.9,0.6,1.1,0,3,3
"1293",964104,23,29,13.7,760.230136986301,2.6,1,0.321,0.486,0.867,1.3,0.8,0.1,0.6,0,3,5
"1294",5451600,29,63,13.7,227.945205479452,3.6,5,0.336,0.439,0.633,0.7,0.3,0.2,0.3,0,3,2
"1296",17133285,38,30,12,1878.92602739726,3.9,6,0.462,0.444,0.7,1,0.2,0.5,0.5,0,3,1
"1297",30560700,28,77,36.9,2747,28,77,0.386,0.484,0.839,2.8,2.2,0.4,2.7,1,3,4
"1298",29230769,33,70,27.1,560.641095890411,12.6,65,0.365,0.522,0.727,2.6,1.2,0.8,1.4,0,3,2
"1301",1544951,25,74,14.3,1326.53698630137,6.9,10,0.405,0.515,0.769,1.2,0.3,0,0.7,0,3,3
"1302",9000000,32,46,29.8,3768.43561643836,9.2,29,0.359,0.428,0.639,2.2,1.2,0.2,2.8,0,3,3
"1303",2100000,26,37,12.8,24.413698630137,5.3,1,0.333,0.535,0.848,1.3,0.4,0.1,0.9,0,3,3
"1306",2393887,34,33,11.5,441.054644808743,4.3,0,0.328,0.473,0.923,0.9,0.3,0.2,0.4,0,3,3
"1307",2500000,27,63,29.8,234.835616438356,11.3,60,0.377,0.483,0.859,1.7,0.6,0.2,1,0,3,5
"1308",17043478,28,82,27.9,329.501369863014,15.4,82,0.369,0.464,0.864,2.5,0.7,0.1,1.8,0,3,3
"1310",14800000,28,68,27.9,1419.80273972603,12.7,67,0.311,0.454,0.855,2.6,1.3,0.1,2.6,0,3,3
