"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,3,3,11,51,2,2,4,21,2,1000,1,21
2024,3,3,18,23,2,2,1,30,7,1000,1,21
2024,3,4,9,14,5,2,5,25,1,400,1,14
2024,3,3,16,14,3,2,5,30,1,1300,1,21
2024,3,5,16,52,4,1,1,8,8,7000,1,25
2024,2,5,17,23,3,2,1,1,1,1200,1,18
2024,3,5,16,52,4,1,5,9,2,5000,1,25
2024,3,5,8,52,5,2,5,8,1,200,1,25
2024,3,5,9,55,5,2,1,24,7,700,1,25
2024,3,3,16,11,2,1,1,21,2,1100,1,21
2024,3,6,8,51,2,1,1,21,2,1500,1,21
2024,3,6,13,14,3,2,5,3,1,1200,1,21
2024,3,6,8,51,5,2,5,6,2,1000,1,21
2024,3,7,9,52,1,2,1,3,1,800,1,13
2024,3,6,14,52,3,2,5,21,7,700,1,21
2024,3,5,18,52,2,2,1,1,1,1300,1,25
2024,3,1,1,14,3,2,5,1,1,945,1,12
2024,3,1,12,53,3,2,5,30,1,1700,1,12
2024,3,4,21,53,2,1,5,21,1,300,1,14
2024,3,7,16,52,3,2,1,20,6,1000,1,13
2024,3,1,9,52,5,1,5,8,7,1200,1,12
2024,3,2,9,11,1,2,2,1,1,4000,1,19
2024,3,4,14,51,2,2,1,7,2,634,1,14
2024,3,4,16,12,5,2,5,1,1,464,1,14
2024,3,3,18,55,5,2,5,10,1,500,1,21
2024,3,1,22,51,5,2,2,8,1,1100,1,12
2024,3,5,9,52,3,2,2,25,7,1200,1,25
2024,3,4,16,52,3,1,4,24,1,500,1,14
2024,2,5,17,13,1,2,4,16,8,800,1,18
2024,3,6,9,51,2,1,5,10,1,800,3,21
2023,10,5,18,52,4,2,5,27,7,925,1,50
2023,1,7,10,14,1,1,2,4,1,1500,1,20
2024,3,6,15,52,3,2,2,1,1,4000,1,21
2024,3,7,22,52,5,2,5,12,1,800,1,13
2024,3,7,19,53,1,2,4,1,7,400,1,13
2024,3,6,13,13,5,2,4,6,5,500,1,21
2024,3,2,9,14,1,1,5,8,2,1700,1,19
2024,3,1,22,51,1,2,4,10,1,599,1,12
2024,3,2,9,14,1,2,5,8,7,1000,1,19
2024,3,2,9,14,1,2,1,10,8,1000,1,19
2024,3,3,8,53,1,1,5,21,8,5700,1,21
2024,3,3,8,53,1,1,5,21,7,4800,1,21
2024,3,3,19,52,2,2,2,6,1,1600,1,21
2024,3,3,15,53,5,2,4,12,2,1000,1,21
2024,3,4,13,51,5,2,1,10,4,700,1,14
2024,3,3,13,53,2,2,5,30,7,1269,1,21
2024,3,3,19,52,2,2,2,1,1,1600,1,21
2024,3,4,14,52,3,2,5,7,4,235,1,14
2024,3,4,23,52,5,2,1,10,6,3000,1,14
2024,3,5,17,22,1,2,4,9,4,749,1,25
2024,3,5,12,53,1,1,5,4,1,778,1,25
2024,3,3,10,52,2,2,4,12,1,8900,1,21
2024,3,6,1,11,1,2,5,16,1,1199,1,21
2024,3,3,10,52,2,1,4,1,7,8000,1,21
2024,4,1,14,41,2,2,4,28,5,700,1,38
2024,4,1,2,13,5,2,5,1,8,2000,1,38
2024,3,4,22,14,2,1,5,21,2,1000,1,14
2024,3,6,14,55,5,2,5,21,1,2000,1,21
2024,3,7,18,55,5,2,4,21,1,950,1,13
2024,4,1,12,52,3,2,5,20,1,799.99,1,38
2023,8,3,12,52,1,2,5,1,1,350,1,64
2024,4,1,14,41,2,2,4,28,5,700,1,38
2024,3,4,9,55,1,2,4,12,7,100,1,14
